Mes,Producto,Ventas,Gastos,Utilidad
Enero,Manzanas,150,75,75
Febrero,Peras,,60,
Marzo,Naranjas,220,110,110
Abril,Manzanas,180,,90
Mayo,Peras,210,95,115
Junio,Naranjas,,130,
Julio,Manzanas,250,120,130
Agosto,Peras,200,,100
Septiembre,Naranjas,230,115,115
Octubre,Manzanas,170,85,85
Noviembre,Peras,,70,
Diciembre,Naranjas,290,145,145
Enero,Peras,160,80,80
Febrero,Manzanas,140,70,70
Marzo,Naranjas,210,105,105
Abril,Peras,190,95,95
Mayo,Naranjas,270,135,135
Junio,Manzanas,130,,65
Julio,Peras,240,120,120
Agosto,Naranjas,205,102,103
Septiembre,Manzanas,185,92,93
Octubre,Peras,215,107,108
Noviembre,Naranjas,195,97,98
Diciembre,Manzanas,225,112,113
Enero,Naranjas,245,122,123
Febrero,Peras,155,77,78
Marzo,Manzanas,165,82,83
Abril,Naranjas,285,142,143
Mayo,Peras,175,87,88
Junio,Manzanas,145,72,73
Julio,Naranjas,235,117,118
Agosto,Peras,205,102,103
Septiembre,Manzanas,195,97,98
Octubre,Naranjas,260,130,130
Noviembre,Peras,150,75,75
Diciembre,Manzanas,190,95,95
Enero,Peras,170,85,85
Febrero,Naranjas,215,107,108
Marzo,Manzanas,135,67,68
Abril,Peras,225,112,113
Mayo,Naranjas,250,125,125
Junio,Manzanas,160,80,80
Julio,Peras,200,100,100
Agosto,Naranjas,240,120,120
Septiembre,Manzanas,175,87,88
Octubre,Peras,230,115,115
Noviembre,Naranjas,210,105,105
Diciembre,Peras,185,92,93
Enero,Manzanas,150,75,75
Febrero,Naranjas,220,110,110
